Вакансия,Зарплата,Тип
"Грузчик, Фасовщик, Кассир, Диспетчер, Охранник, Ма",24 000,Резюме
"Ищу работу, подработку",20 000,Резюме
Менеджер по оптовым продажам,50 000,Вакансии
Водитель кат. В на а/м компании (такси),50 000,Вакансии
Требуются Подсобники на Демонтаж. З/П еженедельная,32 000,Вакансии
"Ночные промоутеры (ежедн. выплаты, гибкий график)",40 000,Вакансии
Водитель-Курьер,1 500,Вакансии
Требуется пильщик металлоконструкций,35 000,Вакансии
Менеджер по продажам,15 000,Вакансии
"Охранник, администратор",35 000,Резюме
Ночной охранник (2-3 дня в неделю),1 500,Вакансии
Массажистка,1 800,Резюме
"Пекарь, повар - продавец",36 000,Вакансии
Электрик,35 000,Вакансии
Требуется кассир в столовую,28 000,Вакансии
"Требуется бригада сварщиков, сборщиков",55 000,Вакансии
Сварщики на вахту в Лен. обл,55 000,Вакансии
Горничная- администратор,30 000,Вакансии
Продавец-имидж-консультант,25 000,Вакансии
Утренний официант,з/п не ук,Вакансии
Ищу работу,1 600,Резюме
"Глав. бухгалтер, бухгалтер-калькулятор(общепит)",5 000,Резюме
Требуется маляр на металлоконструкции,40 000,Вакансии
"Логист, менеджер в транспортной компании",25 000,Резюме
"Руководитель, заместитель руководителя, менеджер",60 000,Резюме
Водитель,40 000,Резюме
"Монтаж мембран пвх, тпо. Гидроизоляция зданий",90,Резюме
Помощник руководителя,40 000,Вакансии
"Внутренняя отделка (плитка, штукатурка, гипсокарто",з/п не ук,Резюме
Поиск работы,30 000,Резюме
Водитель,60 000,Вакансии
"Распространитель, промоутер, расклейщик",30 000,Вакансии
Мойщик а/м,з/п не ук,Вакансии
Транспортный диспетчер,40 000,Вакансии
Мастер участка,60 000,Резюме
Уборщица утро или вечер,8 000,Резюме
Ищу работу водитель погрузчик и электропогрузчика,45,Резюме
Водитель,120 000,Вакансии
Ищу подработку,з/п не ук,Резюме
Требуется продавец-кассир. г. Пушкин,25 000,Вакансии
Требуется продавец-кассир. Ломоносов-Петергоф,25 000,Вакансии
Требуется продавец-кассир. Сестрорецк-Зеленогорск,25 000,Вакансии
